Delta,Theta,Alpha,Beta,Mean,StdDev,Variance,Kurtosis,Skewness,SEF95,KComplexCount,SpindleCount,SleepStage,Subject,DataType
178.207450262185,36.3658337258472,24.7333344029821,17.9754569799958,0.246101518604563,22.3659901410172,500.237514988078,113.388963865352,4.8705483348275,12.939453125,6,12,N3,S1,EEG_Features
324.826207832637,39.0136805008503,37.0159286526306,24.3502664486193,-0.151683489499624,21.5197484236117,463.099572215538,6.37992865112127,0.106578631791625,11.5966796875,4,28,N3,S1,EEG_Features
170.877698040779,29.8911490075088,22.5004019263561,20.6434032379048,-0.475827616015098,30.7575364073542,946.026045849719,171.200546815646,-6.12299511181418,13.916015625,8,10,N3,S1,EEG_Features
329.739613785066,50.3672330324131,26.4046791654705,21.644824220136,0.387798095865892,21.9082820548162,479.972822593384,15.6669208050709,1.22818148708566,11.8408203125,6,22,N3,S1,EEG_Features
541.84198237388,49.1221422776163,29.8861872839496,29.7454722729776,-0.096320237224998,24.6170142984055,605.997392967901,6.88980690334242,-0.323221844747586,16.4794921875,5,33,Wake,S1,EEG_Features
87.1932291331757,28.1490913043407,28.2627442721261,71.5158810877241,-0.000652182888792866,14.8912724026008,221.749993768461,6.02136736568178,0.0329778497040069,27.7099609375,8,37,N2,S1,EEG_Features
53.9406296648373,17.7113138198562,19.6412929652818,21.5351673445923,0.132348077133147,15.7044299281547,246.62911936832,115.000706451474,4.48402920621578,20.1416015625,9,31,N2,S1,EEG_Features
75.8484314021064,36.4236556495168,28.1169494168541,18.2636064309774,0.380121267817504,18.7892987591425,353.037747860315,99.960858073071,5.09844838846503,17.08984375,6,19,N2,S1,EEG_Features
199.884839853554,28.5330396730493,13.8439938730184,17.423111695835,-0.0372065916272324,17.3729332147891,301.818808485522,5.41394767147026,0.195602425153657,12.5732421875,10,24,N2,S1,EEG_Features
180.942369876008,30.3861684248474,37.6778288598207,26.9609449819851,-0.588356212436024,21.0934378690668,444.933121136182,79.1809206446157,-3.82460964810456,13.18359375,8,14,N3,S1,EEG_Features
